x	y	z	r
0.524208721	0.169849029	0.224431818	0.1
0.429103368	0.719673374	0.727272727	0.1
0.49936533	0.46228705	0.622159091	0.1
0.602131777	0.439604638	0.173295455	0.1
0.383855238	0.296848367	0.672979798	0.1
0.54087372	0.650572162	0.246212121	0.1
0.340338732	0.535515224	0.569214876	0.1
0.669850358	0.506489975	0.543560606	0.1
0.462966802	0.860593411	0.380681818	0.1
0.41516736	0.530718606	0.706168831	0.1
0.48541741	0.437385165	0.194518717	0.1
0.830160018	0.407421461	0.590909091	0.1
0.450548774	0.397075009	0.777892562	0.1
0.355623064	0.63601157	0.545454545	0.1
0.482493769	0.652967814	0.438636364	0.1
0.641520211	0.480577419	0.340909091	0.1
0.571800782	0.33146086	0.208522727	0.1
0.364751467	0.425219373	0.660984849	0.1
0.3441417	0.75702458	0.676136364	0.1
0.482095624	0.477763887	0.327020202	0.1
0.637900603	0.567681724	0.218181818	0.1
0.421064979	0.615084964	0.73538961	0.1
0.361705875	0.456010949	0.5	0.1
0.452520653	0.182945575	0.762784091	0.1
0.486876315	0.542743648	0.767045455	0.1
0.48756836	0.563198228	0.291193182	0.1
0.365537087	0.411025885	0.806818182	0.1
0.342343066	0.527586736	0.70661157	0.1
